product,title,rating,body,date,purchase,helpful
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Better than the Long Lasting,5.0,"I live across the road from the Potomac River. Our water has always tasted very chlorinated in this location,  but was tolerable to drink from the tap. I prefer room temp water and am not picky, but my husband wants chilled water and turns his nose up on the tap, so not having a refrigerator dispenser, we’ve had a Brita pitcher for some time. From a promo years back, I’ve just been accustomed to using the long term filters from the beginning, and they’ve seemed to have done their purpose, even if I think it’s more of a placebo effect for hubby.Back in March suddenly one day our water was so badly chlorinated, it even smelled of bleach. We didn’t think much of it, but randomly listening to NPR a local DMV blurb said that areas where drinking water was sourced from the Potomac river were being maintained and with some sort of treatment, so water services would be disrupted in short intervals, and the taste of chlorine would be more noticeable but would be safe and temporary. Three months later it is still intolerable. My cats even have an aversion which is scary.Anyway, our Brita pitcher was barely touching the chlorine. It was making a small difference, but it was still bad. We’ve definitely definitely been drinking less water, and I change up my cat fountain filter more often and refill from our filtered pitcher to help them. Realizing it was probably time to change the filter anyway (do those light indicators work for anyone???) I took into consideration that perhaps the long lasting filters may not work as good as the regular. I mean, why have the two options of there wasn’t an advantage to the short term one?First off: Whoa. I had ZERO idea that a Brita could be filled so quickly. I thought that the obnoxious slow drip was just standard for being filtered. Wrong! I could actually finally fill the entire pitcher from empty without having to wait forever for the reservoir to empty, walking away and coming back in trips to the sink. Better yet? This quick filtering process actually does a substantially better job!I nearly cried just now when I poured a glass of chilled water for the first time from this standard filter. No chlorine!  I can stomach water again.The convenience of refills and maintaining being healthy and hydrated will outweigh any costs of slightly more frequent replacement.","June 19, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Clean water fast,5.0,These filters help to make tap water palletable.  They last different length of time depending on the stuff you are trying to filter out. I generally figure 1 month. We have town water which is fairly decent to start with.,"June 19, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Easy auto order,5.0,Product is great! I just have it on an auto renewal order through Amazon and it's here in time for me to change out the old one.,"June 18, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Love these filters,5.0,"Best filters ever, love their brand and products. Will definitely purchase again from them","June 18, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Not useful,1.0,I know I should of read the whole item description and checked on this prior to purchase but this item popped up as a customere usually  by this item with what I was buying. I thought I was as buying refill filters for the faucet filter but they were not and I ha e no idea why it popped up with the Britia faucet filter system other than to take advantage of customers in a hurry. They would not return this item and it is useless to me. Besides I have a tds meter at the house the faucet filter does nothing noticeable to help the water quality and it has zero effect on the total dissolved solids meter. I would not recommend any Britia product l. If you have decent water by a zero water pitcher it rates just as good on the tds meter as my reverse osmosis does but it does kot last very long,"June 17, 2022",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",I love these!,5.0,I try to drink a lot of water. These help.,"June 17, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Not sure how well it filters,3.0,This is where the bulk of your money goes. May have to do a combination of faucet filter+ this because I am not sure how well it filters.,"June 17, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",I couldn't use it.,5.0,What ever is inside  of the filter you can see it in the water,"June 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Filters work well.,5.0,The water I drink after going thru Brita filter is fresh tasting.  It is a great value.,"June 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good product,5.0,Used in our brita system in our fridge.  Lasts for a few weeks.,"June 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good filters,5.0,I feel like this is chipper than other places. They are clean and serve their purpose.,"June 14, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Authentic filters,5.0,"Easy to use, work great","June 12, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Easy to use!,5.0,I love that these provide a filter for tapwater. I love having a picture of clean water and right at my fingertips!,"June 11, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great quality,5.0,Gave the water a better flavor then would be just coming from the faucet. Takes care of most of the unwanted minerals we shouldn’t be drinking.,"June 10, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",No seal,1.0,Doesn’t seal properly,"June 9, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Arrived damaged,1.0,They do not actually pack these in a box when shipping.  They are in a bag and the filters were completely crushed upon receipt.  They also do not allow returns/replacements.  Great product just not sure I would order here again.,"June 9, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Does not work!!,1.0,Water goes right through the filter and still taste like sink water. Do not recommend,"June 9, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Will order again in the future,5.0,"These filters are a great value for your money. Each filter lasts 2 months so this 3 pack will last six months. Also this pack is half the price from this seller than it is at Safeway.I really like the fact that these filters are compatible with all Brita pitchers.When I need to replace these filters again, I fully intend on purchasing them from this seller.","June 9, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",These don't seem like genuine Brita filters.,1.0,I've been using Brita filters for years and the water always tasted great. With these filters the water tastes terrible. They don't allow refunds. I wonder why.,"June 7, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",That is worth your money,5.0,I like this product for my brita pitcher  awesome,"June 7, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Works good,5.0,Been using them for years,"June 6, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",NOT HAPPY!  Old expiration date of 2012!,1.0,This product is OLD....expiration date in 2012!  And now it shows I can't return it or get a refund!,"June 6, 2022",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",I keep reordered these filters..... that says something!,5.0,They do what they're supposed to do so I keep reordering.,"June 6, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Fits My Brita Water Filter As Expected,5.0,"These are the same as the filters that I was purchasing in local stores.  Shipping was fast and the filters arrived in excellent condition.  I would be nice if the filters lasted a little longer than they do or if the price would come down some, but I wouldn't do without them.","June 6, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good,5.0,You asked about the flavor. I didn't notice any flavor or distinct. I've been using this product for as long as I've had my water brita.,"June 5, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Required, so just set up a regular delivery schedule",5.0,"…so that you remember to switch them out out every 3 months or so. (They recommend more often, but unless you use it constantly, I don’t see a need to.) These filters are required to use a Brita, so easier just to keep some on hand.","June 5, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",COMFORTABLE.,3.0,The item came quickly and is as described.  Lightweight and comfortable.  What I don't like is I received an email directly from the company saying there was an issue with my order.  There is no issue.  The return email address was just a bunch of letters and symbols.  I did not respond and if you get one I recommend deleting.  It looks like it comes from Amazon but know I received the item and everything about it was correct the best option was to ignore and delete.,"June 4, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Poor packaging,1.0,"These filters are plastic, they come in a soft cardboard box. The shipper place that in a flimsy plastic bag. The box was squished all over. Luckily the filters were not damaged.This  is not how I expect my ordered goods to come!","June 4, 2022",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Why is it so difficult to cancell my subscription?,1.0,"Brita standard water filter is not working well for me, not all of the filter's work and they come in torn packaging. I am ready to move on, I have cancelled my subscription several times. Please someone listen to me and cancell the subscription, why is this so difficult?","June 2, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Water taste so fresh and clean!,5.0,Water taste so fresh and clean!,"May 31, 2022",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Exactly as described,5.0,Exactly  as described. Thank you!,"May 29, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",All 3 filters were defective,1.0,All 3 filters did not work,"May 29, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Perfect,5.0,"Great price for a three pack of genuine BRITA filters. Product arrived fast and was very well packaged. I've tried other filters that were poorly packaged and the filters didn't last as long. My BRITA pitcher shows when you need to change it. When it comes to water, it makes sense to use the best.","May 28, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Works great,5.0,Our water tastes horrible but these same me from having to buy water.,"May 26, 2022",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",good dog food save money,5.0,"dog loves it, saves on money and time","May 26, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Work like they should,5.0,Easy to install. Work as they should. However you can probably get them cheaper at walmart. But if you like keeping them in bulk and things being delivered to your door. Definitely go for it.,"May 25, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good Water Bottle Replacement,5.0,"I enjoy my Brita and these keep it coming with reducing how much plastic waste I produce. Is still cheaper at your local grocery store, but was a good buy when I was in a pinch and work prevents me from getting to the stores often.","May 24, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita filters always work great!,5.0,"This Brita filter works great, as always! I will buy them again.","May 21, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",With some doctoring they get the job done...for a month,3.0,"I wrap Saran Wrap around the top of the filter to give it a snug fit in the pitcher I have. If you don’t do that, the water just flows all around it instead of being filtered. I check to make sure there is only the 4 streams of water coming right through the filter when I pour water into the pitcher. It’s not the most complicated task in the world but it seems like an unnecessary step when you’re using the right filters for the pitcher. I also need to replace the filter every single month, and it’s just one person using it. All told it’s a fairly reasonable option for fairly clean water.","May 20, 2022",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Very good,5.0,Really makes water much better to drink,"May 19, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Ineffective,1.0,"Waste of money, after a few uses the water doesnt go through and the black filter part disappears like it dissolves. The supermarket sells better ones","May 17, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Fresh water!!,5.0,Love fresh water taste! Works great!,"May 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Excellent product,5.0,"Proprietary water filter, does the job.","May 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Cheaper than in the store and is the same product.,5.0,Comes as advertised.  Works and looks the same as the more expensive Britta filters in other stores.,"May 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",almost seem used,1.0,"the filters don't work, the water just goes right through them and still taste like tap water. I tried them all and none have worked.","May 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Perfect pure water,5.0,For water purification,"May 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Great product, poor shipping",3.0,"Love these filters, can't beat the price ... But the inside was smashed and almost appeared like the box had gotten wet. Luckily the filters were okay (I think, looked okay on the outside) but maybe instead of just the plastic envelope you could have a padded one or something. Disappointed, I've had nothing but good experiences until now with Amazon.","May 15, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Mold on filter,1.0,Mold on first filter I opened and wasn’t allowed to return. They also looked as if the box was damaged / items had been stored for a long time before they  arrived.,"May 15, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good replacements,4.0,They don’t last as long as I would like overall taste is good but 1 of mine came a little damaged,"May 14, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Works great!,5.0,Works great and not expensive!,"May 13, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",not recommended,1.0,"Came with damaged box. I needed a new filter right at that moment and was too bothered to go through the return process so I kept it, but this is unacceptable.","May 13, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","All old, concave and loose. Like an returned product.",1.0,"The media could not be loaded.
                



 The product is not brand new when I open the package, it looks like a return product, the box is all broken and loose, looks like someone broke it!","May 12, 2022",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Don't Buy,1.0,"The filter doesn't last and takes FOREVER to fill pitcher, along with a weird taste.  Not normal. Contacted customer support and still have not received a response. I ended up buying a new pack of filters in store and worked much better than those ordered on prime.","May 11, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Worst package delivery,3.0,,"May 10, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Water in water out,5.0,Works as expected. Clean water.,"May 10, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Convenient Purchase,5.0,I realized after I bought this that they were cheaper at Costco BUT for the convenience this was a great buy not too much more expensive either! Product overall was good no complaints!,"May 9, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Really bad don’t buy,1.0,Really bad don’t buy,"May 8, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Damaged,1.0,Box waterlogged and package smashed.  Not eligible for return.,"May 7, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",As described,4.0,As described,"May 5, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Disappointed,1.0,"This is what the box looked like when I opened the package, unacceptable.","May 4, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Monthly Maintainance,4.0,Perfect for changing out my Brita filters monthly. I usually try to stock up on these so I only order twice a year.,"May 3, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Filter,3.0,I expect the water to taste more purified abs I can taste chlorine,"May 3, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita filter,5.0,"The filters of late seem to leave a lot of black specks floating around in my water. They are fine and packaging is okay inside the box. However, the box itself is pretty badly damaged.","May 1, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","So messed up in shipping, it has to be thrown out.",2.0,"This is used to purify water, which works beautifully if you receive undamaged filter. These were exposed and mangled. Unable to use and no refunds.","April 30, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Be careful, one filter didn't work",3.0,One of these filters did not work. I noticed the water filtering way faster than normal and tried a new one to check the difference and it was a huge difference. It was like the one didn't filter at all.  Just keep an eye out.,"April 30, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Fabulous filter,5.0,Works! Worth the$$$,"April 30, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Buen producto,5.0,Lo que esperaba,"April 29, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Waste of money,1.0,The last brita filters I bought in store worked perfect but these are not filtering good at all. My TDS meter reads 200 and the water has a sour taste. Will not be buying filters off Amazon again.,"April 29, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Money and health saver!,5.0,"You can get good-tasting water with Brita Standard water filter replacementand you can save money. ( compare how many plastic water bottle you are using daily)Reduce Chlorine (taste & odor) Mercury, Copper, Zinc, CadmiumFor the best results, replace your water filter after 40 gallons or after every 2 months. Totally money  saver product.","April 27, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brota box open and damaged,2.0,Disappointed that this item isn’t eligible for a return even though the brita box arrived open and pretty banged up!,"April 26, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",As always，daily necessity,5.0,I bought this to my friend as a gift cuz they dont think they need it. After using it，they love it and they believe they cannot leave it any more,"April 26, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",the best water,5.0,"Always use Brita water filters for safe, clean water.","April 23, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",YOUR MONEY IS BUYING A QUALITY PRODUCT.,4.0,"I've been using Britta for years. Last two years it has been disappointing. Within 3 weeks the filtered water has an old and stagnant algae smell and the water does not taste fresh. I checked with the store that sells Britta , they agreed Britta is not the same quality as it used to be some years ago. I keep buying filters andchanging them every four weeks . I have two pitchers and they both have the same problem. The water simply runs through rapidly so it has no time to filter through slowly.  As soon as we can change our sink we will install a reverse osmosis system.","April 23, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Not good,1.0,I continued to have carbon in my water. I would let water run through it about 4/5 times and I would notice there was almost powder like black stuff on the bottom of my filter. I threw that one out and tried another and same thing!! SMH,"April 22, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","it works, i like brita taste",5.0,no,"April 22, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita filter so easy to install,5.0,"I purchased these for my Brita pitcher. You just position the filter in the slot in the pitcher, and then fill pitcher with water.","April 17, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",The light keep red,1.0,"Even after change the filter, the light keep red, asking for replacement. Never will be able to know when to change again :(","April 16, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Hardly Last 30 Days... One Filter,2.0,Hardly Last 30 Days... One FilterAfter that Water is not filtering at all. My consumption may be 0.6 Gallon per day.,"April 14, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Most economical I have found,5.0,Filters excellent to the bitter end. I use for dog water to make the water a little safer,"April 13, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Package issues,2.0,Product seems to be fine (individual wrappings of the filters are undamaged). But the box came completely ripped and unsealed.,"April 12, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Works well, tastes great",5.0,"It’s a great product. I just forgot to reset it, so it kept showing that it needed to be changed. Always remember to reset after swapping them out","April 11, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Like,4.0,Makes my water taste really good.,"April 9, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Wow, no more black specks!",5.0,"I have used Brita water filters for a long time.  I did switch over to BWT Best Water Technology pitcher and filters, but the replacement filters went sky high in price.  So I went back to Brita and these newer designed filters are so much better than the older design.  I have not had 1 speck of black in my ice cube trays.  It used to drive me nuts trying to get those black specs out of my ice cube trays with my finger as my finger would actually chase the black speck away.  No more worries.  Very glad I switched back to Brita.","April 8, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Good,4.0,"It does the job, works as a replacement filter.","April 8, 2022",Verified Purchase,0
